x,Curve1
0.0043195,205.98
0.0054729,201.66
0.0069455,190.77
0.0087928,181.6
0.011041,172.86
0.0141381,163.53
0.017811,158.11
0.022567,146.35
0.028083,135.88
0.03599,124.21
0.045265,111.79
0.057256,99.98
0.072483,88.31
0.092586,75.85
0.116637,68.05
0.147053,57.9
0.18585,47.46
0.23527,38.299
0.29906,31.686
0.37549,23.801
0.47147,17.822
0.60367,12.268
0.76042,8.34
0.96412,5.037
1.21342,2.8757
1.5396,1.4449
1.9487,0.6571
2.4725,0.26462
3.1088,0.08729
3.9118,0.021482
4.9058,0.004398
6.2786,0.0006177
7.9886,5.284e-05
