T_V [keV],dR/dT [v / keV s] Quench
5.9340082811219034e-06,7.385088443574063e-27
7.758959299683171e-06,7.125549635660864e-27
1.0144512841155364e-05,6.872038496665695e-27
1.3262662649975201e-05,6.623817970445744e-27
1.733809901194902e-05,6.380072703996908e-27
2.2664331282624067e-05,6.139958609344822e-27
2.9624735999444305e-05,5.902500831964669e-27
3.872003332880021e-05,5.667006112214366e-27
5.06041525503675e-05,5.4329305821126386e-27
6.613104469704113e-05,5.1997367306390614e-27
8.64157798320847e-05,4.967075244657364e-27
0.00011291428320345759,4.734291676267393e-27
0.00014752739105494258,4.500183511359181e-27
0.00019273663772421525,4.2638721162536414e-27
0.000251781444310321,4.0254320696097785e-27
0.0003288903270470653,3.7857563071204906e-27
0.00042958259163237896,3.5457958887633175e-27
0.0005610620043064392,3.307227681315679e-27
0.0007327304930887944,3.0723056177829487e-27
0.0009568585072671846,2.842546692645367e-27
0.001249459871861105,2.619136542893738e-27
0.0016314336332666532,2.4036684917042617e-27
0.0021300545772042112,2.1950770557055593e-27
0.00278091922625187,1.9906148203146092e-27
0.003630487060496355,1.789169386862593e-27
0.004739399923197253,1.5926699140272853e-27
0.00618681935152883,1.4024437825175736e-27
0.008076096268023213,1.2203948598454444e-27
0.010542185891938755,1.0486524564132485e-27
0.013761350655351097,8.910016058762704e-28
0.017963865774696986,7.500207973679512e-28
0.0234506700060076,6.2224123252911705e-28
0.030615207049279947,5.061272026739979e-28
0.03997210696372024,4.018058292041802e-28
0.05219489718646414,3.100111721698184e-28
0.06816565785397216,2.3109083670750247e-28
0.08904051301461721,1.6528708947630084e-28
0.11633617060753469,1.1256239905723566e-28
0.1520445184554333,7.230270792772397e-29
0.19878473035535296,4.330185515179132e-29
0.2600056862377643,2.3838370683285616e-29
0.34025611370781933,1.185345284749815e-29
0.44554620476923806,5.209322339172378e-30
0.5838332336646244,1.969678558652929e-30
0.7656758457846073,6.197062229736853e-31
1.0051185041238737,1.5565972554729636e-31
1.3208908334293168,2.9657466093114914e-32
1.7380386423819485,4.024142739660308e-33
2.290147275000015,3.598324650892446e-34
3.0223774355102693,1.914326318778938e-35
