T [keV],dR/dT [v / keV s]
9.999999999999999e-05,5.001957491488231e-28
0.00012648552168552957,4.987872652468028e-28
0.00015998587196060574,4.971247643966812e-28
0.00020235896477251557,4.951543839913477e-28
0.0002559547922699533,4.928098558651646e-28
0.00032374575428176466,4.9001496746175185e-28
0.00040949150623804275,4.866741899429134e-28
0.0005179474679231213,4.827053854719387e-28
0.0006551285568595509,4.7803135195213675e-28
0.0008286427728546842,4.725684063903563e-28
0.0010481131341546852,4.662430681769497e-28
0.0013257113655901107,4.589466259726644e-28
0.00167683293681101,4.5050563031543765e-28
0.0021209508879201926,4.4076241616822195e-28
0.002682695795279727,4.296464664242703e-28
0.00339322177189533,4.171750565157135e-28
0.004291934260128779,4.03381293596541e-28
0.005428675439323859,3.8839439054155723e-28
0.006866488450042998,3.724362687818758e-28
0.00868511373751352,3.5567016545489845e-28
0.010985411419875572,3.3824075329904393e-28
0.013894954943731361,3.2036758551728786e-28
0.017575106248547932,3.0193349169452907e-28
0.022229964825261954,2.825668859010415e-28
0.02811768697974231,2.6208813578126363e-28
0.03556480306223128,2.407565280118835e-28
0.044984326689694445,2.1877352067535146e-28
0.05689866029018305,1.9646012557258214e-28
0.07196856730011529,1.7421538564619834e-28
0.09102981779915227,1.5277074967616653e-28
0.11513953993264481,1.3273307421159258e-28
0.14563484775012445,1.1367353704571723e-28
0.18420699693267165,9.545991916415595e-29
0.2329951810515372,7.825685036202032e-29
0.29470517025518095,6.236384613445513e-29
0.3727593720314942,4.8030405804688424e-29
0.47148663634573945,3.550639115797491e-29
0.5963623316594643,2.5002455438602612e-29
0.7543120063354622,1.6614578298303694e-29
0.9540954763499944,1.0300336978039282e-29
1.2067926406393288,5.8741193143858336e-30
1.5264179671752334,3.028276022697068e-30
1.9306977288832496,1.3811383293673272e-30
2.44205309454865,5.425518662350235e-31
3.088843596477485,1.7757231546105003e-31
3.9069399370546214,4.646608212483959e-32
4.941713361323838,9.23777377344651e-33
6.250551925273976,1.3102670231746067e-33
7.906043210907701,1.2271370351916818e-34
10.0,6.852257889596692e-36
